file,seed,n_per_z,nz,nd,n_muestras,n_candidatos,best_f,best_cp,best_u
oertel_seed-12379_nperz-5_nz-100_nd-100_nmuestras-50.json,12379,5,100,100,50,54,0.317044758,"[1.0, 0.43959578804687865, 0.5699529694744071]","[-0.9408807689542255, 0.2395238804504734, 0.23952388045047338]"
oertel_seed-12363_nperz-5_nz-100_nd-100_nmuestras-50.json,12363,5,100,100,50,54,0.321559738,"[1.0, 0.41182201702398463, 0.5288017055970826]","[0.9995065603657316, 0.03085438817815584, 0.005885789328195163]"
oertel_seed-12431_nperz-5_nz-100_nd-100_nmuestras-50.json,12431,5,100,100,50,54,0.327973517,"[1.0, 0.49067957507611293, 0.47687656072754836]","[-0.9297764858882513, 0.26835124989067094, 0.25199859716158945]"
oertel_seed-12451_nperz-5_nz-100_nd-100_nmuestras-50.json,12451,5,100,100,50,54,0.349073837,"[1.0, 0.4850797512233016, 0.4260375743214394]","[-0.9995065603657316, 0.031271357017495435, -0.0029560135568968663]"
oertel_seed-12310_nperz-5_nz-100_nd-100_nmuestras-50.json,12310,5,100,100,50,54,0.349543601,"[1.0, 0.5911565849231999, 0.4435976916847009]","[0.5620833778521307, 0.7369341877080964, -0.37548672323977966]"
oertel_seed-12492_nperz-5_nz-100_nd-100_nmuestras-50.json,12492,5,100,100,50,54,0.36788636,"[1.0, 0.48749847939740987, 0.4055099902355181]","[-0.8763066800438636, 0.24523257230768006, 0.4146656339629076]"
oertel_seed-12321_nperz-5_nz-100_nd-100_nmuestras-50.json,12321,5,100,100,50,54,0.379511605,"[1.0, 0.4539339096923089, 0.503349070827608]","[0.9995065603657316, -0.020772307677188847, 0.023561558089999487]"
oertel_seed-12288_nperz-5_nz-100_nd-100_nmuestras-50.json,12288,5,100,100,50,54,0.385246687,"[1.0, 0.5162739343808727, 0.35842675413663533]","[0.5358267949789969, 0.6154885689467715, -0.577982237857178]"
oertel_seed-12470_nperz-5_nz-100_nd-100_nmuestras-50.json,12470,5,100,100,50,54,0.401204978,"[1.0, 0.43421668877571795, 0.4110103556845357]","[0.5358267949789969, 0.7523016901767255, -0.38331685684271466]"
oertel_seed-12279_nperz-5_nz-100_nd-100_nmuestras-50.json,12279,5,100,100,50,54,0.409831972,"[1.0, 0.5125739877876421, 0.5284490298893171]","[0.24868988716485485, 0.8010963171389386, -0.5444244949378756]"
oertel_seed-12339_nperz-5_nz-100_nd-100_nmuestras-50.json,12339,5,100,100,50,54,0.420268003,"[1.0, 0.4921328716136564, 0.5549218858799931]","[0.9921147013144779, 0.1252713891793726, 0.003936812003971143]"
oertel_seed-12486_nperz-5_nz-100_nd-100_nmuestras-50.json,12486,5,100,100,50,54,0.434249256,"[1.0, 0.6163299921993891, 0.5379146006030566]","[0.09410831331851428, -0.8569220234204836, 0.5067822719287727]"
oertel_seed-12306_nperz-5_nz-100_nd-100_nmuestras-50.json,12306,5,100,100,50,54,0.434339982,"[1.0, 0.4636359184746631, 0.4417692935616617]","[-0.9980267284282716, 0.06251185298105129, -0.0059091098852969174]"
oertel_seed-12444_nperz-5_nz-100_nd-100_nmuestras-50.json,12444,5,100,100,50,54,0.2811077872820378,"[1.0, 0.46051499191789563, 0.5056982201993538]","[0.8443279255020151, -0.21280248137150362, 0.4917575196573964]"
oertel_seed-12408_nperz-5_nz-100_nd-100_nmuestras-50.json,12408,5,100,100,50,54,0.28165187575261436,"[1.0, 0.5605470991450113, 0.590509480639408]","[-0.3971478906347807, 0.46717511396962574, 0.7899499768034755]"
oertel_seed-12375_nperz-5_nz-100_nd-100_nmuestras-50.json,12375,5,100,100,50,54,0.28438171605858104,"[1.0, 0.5152571246589526, 0.36582877655907675]","[0.33873792024529137, -0.8245001029593948, -0.4532727673353452]"
oertel_seed-12298_nperz-5_nz-100_nd-100_nmuestras-50.json,12298,5,100,100,50,54,0.29147519877996303,"[1.0, 0.4417459550085584, 0.4695339568682382]","[0.2181432413965427, 0.80716179590847, 0.5485465900530447]"
oertel_seed-12389_nperz-5_nz-100_nd-100_nmuestras-50.json,12389,5,100,100,50,54,0.2916044072875427,"[1.0, 0.42574610112199046, 0.47755498088153336]","[-0.9995065603657316, 0.00393681200397114, -0.031163075860858275]"
oertel_seed-12374_nperz-5_nz-100_nd-100_nmuestras-50.json,12374,5,100,100,50,54,0.30271511760007974,"[1.0, 0.47300812418508653, 0.5683078172231598]","[-0.5620833778521307, -0.6691222403055113, 0.48614576401617693]"
oertel_seed-12448_nperz-5_nz-100_nd-100_nmuestras-50.json,12448,5,100,100,50,54,0.30734320267386006,"[1.0, 0.4007803429179893, 0.5509369492625072]","[-0.7501110696304596, 0.569218915440439, 0.33663512817687063]"
oertel_seed-12393_nperz-5_nz-100_nd-100_nmuestras-50.json,12393,5,100,100,50,54,0.31061130469157583,"[1.0, 0.6318118533891658, 0.40589529223995185]","[-0.33873792024529137, -0.40060754725253095, 0.8513343728948137]"
oertel_seed-12400_nperz-5_nz-100_nd-100_nmuestras-50.json,12400,5,100,100,50,54,0.3112624175817858,"[1.0, 0.4846168413573719, 0.49530803227333814]","[0.4539904997395467, -0.5892331865265532, -0.6683538569066545]"
oertel_seed-12315_nperz-5_nz-100_nd-100_nmuestras-50.json,12315,5,100,100,50,54,0.32452534112997233,"[1.0, 0.507818090739397, 0.4961205835009488]","[0.6374239897486897, 0.5616799809962878, -0.5274526104218957]"
oertel_seed-12256_nperz-5_nz-100_nd-100_nmuestras-50.json,12256,5,100,100,50,54,0.3245572600837857,"[1.0, 0.41867804683960974, 0.5374409904679395]","[-0.36812455268467775, -0.8928584884893851, 0.25939937016723136]"
oertel_seed-12491_nperz-5_nz-100_nd-100_nmuestras-50.json,12491,5,100,100,50,54,0.3245791834507087,"[1.0, 0.42228740840254764, 0.5924076968966661]","[0.3090169943749471, 0.5345730592074599, -0.7866003696649597]"
oertel_seed-12410_nperz-5_nz-100_nd-100_nmuestras-50.json,12410,5,100,100,50,54,0.33043697332882127,"[1.0, 0.4871425648819432, 0.5318997500067726]","[0.9980267284282716, -0.028506299340018745, 0.05594676255779534]"
oertel_seed-12438_nperz-5_nz-100_nd-100_nmuestras-50.json,12438,5,100,100,50,54,0.33204550355491574,"[1.0, 0.5142198374127467, 0.4990706635952987]","[-0.03141075907812828, -0.30886451314226004, 0.9505872273155844]"
oertel_seed-12299_nperz-5_nz-100_nd-100_nmuestras-50.json,12299,5,100,100,50,54,0.3434096492837443,"[1.0, 0.51867666898679, 0.42949592014355614]","[0.5090414157503713, 0.6086365241467429, -0.608636524146743]"
oertel_seed-12394_nperz-5_nz-100_nd-100_nmuestras-50.json,12394,5,100,100,50,54,0.34586147203828327,"[1.0, 0.40607422219356637, 0.41480452415772745]","[-0.4257792915650727, 0.714953630839147, 0.5545748827924551]"
oertel_seed-12485_nperz-5_nz-100_nd-100_nmuestras-50.json,12485,5,100,100,50,54,0.34843837452551507,"[1.0, 0.6510297816744872, 0.5415655125704564]","[-0.1564344650402308, 0.5805486404630473, 0.7990566526874576]"
oertel_seed-12413_nperz-5_nz-100_nd-100_nmuestras-50.json,12413,5,100,100,50,54,0.35231694379447126,"[1.0, 0.4689012189243643, 0.4005043766731713]","[0.9995065603657316, 0.020772307677188854, 0.02356155808999948]"
oertel_seed-12293_nperz-5_nz-100_nd-100_nmuestras-50.json,12293,5,100,100,50,54,0.35246012215106537,"[1.0, 0.6314898373277167, 0.45997623354390743]","[-0.12533323356430415, -0.9609455936013646, 0.24672889312449156]"
oertel_seed-12286_nperz-5_nz-100_nd-100_nmuestras-50.json,12286,5,100,100,50,54,0.3526001421936696,"[1.0, 0.5333547507855863, 0.5207019725402143]","[-0.2789911060392295, -0.9560318683084699, -0.09037161904947665]"
oertel_seed-12260_nperz-5_nz-100_nd-100_nmuestras-50.json,12260,5,100,100,50,54,0.3537717359351612,"[1.0, 0.4836429461127914, 0.3304800294581226]","[-0.09410831331851428, 0.7467820501518181, -0.6583769398569422]"
oertel_seed-12427_nperz-5_nz-100_nd-100_nmuestras-50.json,12427,5,100,100,50,54,0.35403543139887994,"[1.0, 0.526451214930281, 0.459409117339997]","[-0.6613118653236517, 0.3405432993616984, 0.6683538569066546]"
oertel_seed-12434_nperz-5_nz-100_nd-100_nmuestras-50.json,12434,5,100,100,50,54,0.3544628186207169,"[1.0, 0.6073952886420475, 0.43507698861964506]","[-0.4539904997395467, -0.3793721266487811, 0.806206807009354]"
oertel_seed-12333_nperz-5_nz-100_nd-100_nmuestras-50.json,12333,5,100,100,50,54,0.3558487044309274,"[1.0, 0.5954561247555539, 0.5391299650843113]","[-0.12533323356430448, 0.6560972237412949, -0.744196219799107]"
oertel_seed-12467_nperz-5_nz-100_nd-100_nmuestras-50.json,12467,5,100,100,50,54,0.35674836373151175,"[1.0, 0.5092419604495857, 0.4615113574850761]","[0.1873813145857246, 0.3327379403953011, -0.9242151837995407]"
oertel_seed-12418_nperz-5_nz-100_nd-100_nmuestras-50.json,12418,5,100,100,50,54,0.3572297061501057,"[1.0, 0.4730222339781452, 0.42379338328546157]","[-0.5620833778521307, 0.6372765353211546, 0.5272009994977286]"
oertel_seed-12405_nperz-5_nz-100_nd-100_nmuestras-50.json,12405,5,100,100,50,54,0.35729345761321424,"[1.0, 0.5861262749302254, 0.4715166698240723]","[-0.9995065603657316, 0.014260186211077967, -0.02798719126832131]"
oertel_seed-12291_nperz-5_nz-100_nd-100_nmuestras-50.json,12291,5,100,100,50,54,0.3577940201601768,"[1.0, 0.4388772944672134, 0.5048616009997667]","[-0.27899110603922916, -0.20948157728620076, 0.9371667042360676]"
oertel_seed-12412_nperz-5_nz-100_nd-100_nmuestras-50.json,12412,5,100,100,50,54,0.3591845717399494,"[1.0, 0.4772421937903559, 0.5284389236304035]","[-0.9995065603657316, -0.0049137252928945765, -0.031024040510710192]"
oertel_seed-12381_nperz-5_nz-100_nd-100_nmuestras-50.json,12381,5,100,100,50,54,0.35967325985099047,"[1.0, 0.480045916193369, 0.43874411757384557]","[0.03141075907812828, -0.770133041003075, -0.6371094594883141]"
