file,seed,n_per_z,nz,nd,n_muestras,n_candidatos,best_f,best_cp,best_u
oertel_seed-100_nperz-5_nz-20_nd-20_nmuestras-10.json,100,5,20,20,10,14,0.23330713891299187,"[1.0, 0.4217767187303549, 0.4649582694363392]","[-1.0, -0.0, -0.0]"
oertel_seed-10_nperz-5_nz-20_nd-20_nmuestras-10.json,10,5,20,20,10,14,0.31922767671758073,"[1.0, 0.5035079499035159, 0.5018329451925527]","[0.587785252292473, 0.24999999999999994, -0.7694208842938134]"
oertel_seed-11_nperz-5_nz-20_nd-20_nmuestras-10.json,11,5,20,20,10,14,0.28698113536616154,"[1.0, 0.44717604620951784, 0.4131307555527819]","[-1.0, -0.0, -0.0]"
oertel_seed-12_nperz-5_nz-20_nd-20_nmuestras-10.json,12,5,20,20,10,14,0.13204545097546816,"[1.0, 0.5285697007886877, 0.5017422448255117]","[-1.0, -0.0, -0.0]"
oertel_seed-13_nperz-5_nz-20_nd-20_nmuestras-10.json,13,5,20,20,10,14,0.20777778655024384,"[2.0, 0.407379231088368, 0.47819210007124774]","[0.587785252292473, 0.7208394201673423, -0.3672860295740686]"
oertel_seed-14_nperz-5_nz-20_nd-20_nmuestras-10.json,14,5,20,20,10,14,0.1980042657937097,"[1.0, 0.6033965411801644, 0.4164071008237414]","[-1.0, -0.0, -0.0]"
oertel_seed-15_nperz-5_nz-20_nd-20_nmuestras-10.json,15,5,20,20,10,14,0.15473927894914477,"[1.0, 0.4799196427885474, 0.42038380864646974]","[-1.0, -0.0, -0.0]"
oertel_seed-16_nperz-5_nz-20_nd-20_nmuestras-10.json,16,5,20,20,10,14,0.17707331154073977,"[2.0, 0.4339835740246207, 0.5641578280267535]","[0.8910065241883679, -0.3672860295740684, 0.2668489204277955]"
oertel_seed-17_nperz-5_nz-20_nd-20_nmuestras-10.json,17,5,20,20,10,14,0.16855419681811193,"[1.0, 0.5176627979632712, 0.4181269727394468]","[-1.0, -0.0, -0.0]"
oertel_seed-18_nperz-5_nz-20_nd-20_nmuestras-10.json,18,5,20,20,10,14,0.32931311046954687,"[1.0, 0.5152730089577385, 0.5093847068656381]","[-1.0, -0.0, -0.0]"
