file,seed,n_per_z,nz,nd,n_muestras,n_candidatos,best_f,best_cp,best_u,best_index
oertel_seed-8601_nperz-10_nz-100_nd-100_nmuestras-50.json,8601,10,100,100,50,54,0.40477140671470313,"[1.0, 0.420283871061869, 0.5204337523214735]","[0.5358267949789969, -0.4962835027087824, -0.6830756405564746]",21
oertel_seed-8602_nperz-10_nz-100_nd-100_nmuestras-50.json,8602,10,100,100,50,54,0.3985831912901807,"[1.0, 0.49737758508706925, 0.4768045636741908]","[0.21814324139654234, 0.8830358871572187, -0.4155251475247598]",17
oertel_seed-8603_nperz-10_nz-100_nd-100_nmuestras-50.json,8603,10,100,100,50,54,0.4092410260817446,"[1.0, 0.4928088486732808, 0.4815890331680835]","[0.5620833778521307, -0.6204022942396663, -0.5469581973464676]",7
oertel_seed-8604_nperz-10_nz-100_nd-100_nmuestras-50.json,8604,10,100,100,50,54,0.4288936048058716,"[1.0, 0.4840086216429391, 0.4573244316322287]","[0.9995065603657316, 0.015132248592212108, 0.027525458005412257]",1
oertel_seed-8605_nperz-10_nz-100_nd-100_nmuestras-50.json,8605,10,100,100,50,54,0.46519105844355124,"[1.0, 0.42824746912642486, 0.5134703866779744]","[0.4539904997395467, -0.0838511211471593, -0.8870522056951332]",31
oertel_seed-8606_nperz-10_nz-100_nd-100_nmuestras-50.json,8606,10,100,100,50,54,0.4303887496220211,"[1.0, 0.5170844666024199, 0.5143947070905326]","[0.9995065603657316, -0.03102404051071019, 0.004913725292894578]",18
oertel_seed-8607_nperz-10_nz-100_nd-100_nmuestras-50.json,8607,10,100,100,50,54,0.3881545169215307,"[1.0, 0.5304624472431638, 0.5023260595867827]","[-0.3387379202452915, 0.7944119077958617, -0.5041491268861168]",1
oertel_seed-8608_nperz-10_nz-100_nd-100_nmuestras-50.json,8608,10,100,100,50,54,0.4402692304820755,"[1.0, 0.5097143436414486, 0.420558324296134]","[0.1873813145857246, -0.8124307034352644, -0.5521273359106641]",22
oertel_seed-8609_nperz-10_nz-100_nd-100_nmuestras-50.json,8609,10,100,100,50,54,0.3956538814770912,"[1.0, 0.5620655385318034, 0.4645038732284934]","[-0.4257792915650727, 0.8976922208985844, 0.1134049003020246]",5
oertel_seed-8610_nperz-10_nz-100_nd-100_nmuestras-50.json,8610,10,100,100,50,54,0.41610397973418817,"[1.0, 0.456335881050837, 0.5592405740226052]","[0.9995065603657316, 0.028827369440197342, 0.012474716711115937]",21
oertel_seed-8611_nperz-10_nz-100_nd-100_nmuestras-50.json,8611,10,100,100,50,54,0.41697235926577797,"[1.0, 0.4709592635721124, 0.44227431276295703]","[0.6845471059286887, 0.1590195792620951, -0.7114127024280371]",19
oertel_seed-8612_nperz-10_nz-100_nd-100_nmuestras-50.json,8612,10,100,100,50,54,0.46637853458081613,"[1.0, 0.5055939968057617, 0.4797653518991005]","[-0.2789911060392295, -0.15022302900038423, -0.9484708768902486]",12
oertel_seed-8613_nperz-10_nz-100_nd-100_nmuestras-50.json,8613,10,100,100,50,54,0.4472277841076684,"[1.0, 0.5110933202074114, 0.5232807594107257]","[0.9995065603657316, 0.02420240583533769, 0.020021971372615407]",12
oertel_seed-8614_nperz-10_nz-100_nd-100_nmuestras-50.json,8614,10,100,100,50,54,0.4391194811827178,"[1.0, 0.5356391859101814, 0.47021543168950575]","[0.5090414157503713, 0.726748530052639, -0.46120864163324843]",20
oertel_seed-8615_nperz-10_nz-100_nd-100_nmuestras-50.json,8615,10,100,100,50,54,0.42528386814075914,"[1.0, 0.5159082449647374, 0.48759098999129974]","[-0.9995065603657316, 0.023561558089999483, -0.02077230767718885]",1
oertel_seed-8616_nperz-10_nz-100_nd-100_nmuestras-50.json,8616,10,100,100,50,54,0.46430652150559526,"[1.0, 0.5150376730460057, 0.5225769333548363]","[-0.3387379202452915, 0.5288534407699012, -0.778184206710552]",14
oertel_seed-8617_nperz-10_nz-100_nd-100_nmuestras-50.json,8617,10,100,100,50,54,0.42018164665677316,"[1.0, 0.5220800288648881, 0.4491958914317201]","[-0.5358267949789969, 0.5381948749297288, 0.6505658478447126]",8
oertel_seed-8618_nperz-10_nz-100_nd-100_nmuestras-50.json,8618,10,100,100,50,54,0.41107637909418304,"[1.0, 0.49955647963327815, 0.5570448491781632]","[0.9995065603657316, 0.02420240583533769, 0.020021971372615407]",13
oertel_seed-8619_nperz-10_nz-100_nd-100_nmuestras-50.json,8619,10,100,100,50,54,0.4532715112300858,"[1.0, 0.44572874082564884, 0.5156909579174018]","[-0.3971478906347807, -0.6489505192864646, 0.6489505192864647]",7
oertel_seed-8620_nperz-10_nz-100_nd-100_nmuestras-50.json,8620,10,100,100,50,54,0.39803512778033623,"[1.0, 0.4869095749823702, 0.48483810935713334]","[-0.9510565162951535, -0.1573024483075478, 0.26598391411695854]",8
oertel_seed-8621_nperz-10_nz-100_nd-100_nmuestras-50.json,8621,10,100,100,50,54,0.39514732668826996,"[1.0, 0.5976963425177206, 0.5407828253482937]","[0.5090414157503713, 0.5892184635367429, -0.6274539339889883]",1
oertel_seed-8622_nperz-10_nz-100_nd-100_nmuestras-50.json,8622,10,100,100,50,54,0.42270139485382996,"[1.0, 0.46433896012328285, 0.47481004100947943]","[-0.8270805742745618, -0.49255741875344106, -0.2707857324317666]",21
oertel_seed-8623_nperz-10_nz-100_nd-100_nmuestras-50.json,8623,10,100,100,50,54,0.4606772947154859,"[1.0, 0.5550417966808748, 0.5095156920393396]","[-0.24868988716485485, 0.61739814297001, 0.7463061523792464]",18
oertel_seed-8624_nperz-10_nz-100_nd-100_nmuestras-50.json,8624,10,100,100,50,54,0.4374412710117685,"[1.0, 0.5573675692938165, 0.5161577763834623]","[-0.1564344650402308, 0.12379017348055071, 0.9799001230213373]",6
oertel_seed-8625_nperz-10_nz-100_nd-100_nmuestras-50.json,8625,10,100,100,50,54,0.47152472829214065,"[1.0, 0.5033854967102279, 0.48345283533660355]","[0.8090169943749473, -0.42847700858219234, -0.40236669336437664]",11
oertel_seed-8626_nperz-10_nz-100_nd-100_nmuestras-50.json,8626,10,100,100,50,54,0.42941899134575784,"[1.0, 0.4844481632025499, 0.4820524254277022]","[0.48175367410171543, -0.7542739880580513, -0.4460763930410359]",23
