Punto[0.        0.4168419 0.3250359] -> F: 0.08301688443983558
Punto[1.         0.61450278 0.48289493] -> F: 0.36746719418714874
Punto[2.         0.54665231 0.72488674] -> F: 0.059246873298412696
Punto[1.         0.4817471  0.52496132] -> F: 0.3241545239340094
Punto[1.         0.61184767 0.48373626] -> F: 0.3700069796773101
Punto[1.         0.60924566 0.48456076] -> F: 0.3724982696936576
Punto[1.         0.60664365 0.48538526] -> F: 0.37499183671128766
Punto[1.         0.60404163 0.48620977] -> F: 0.3776913462858083
Punto[1.         0.60143962 0.48703427] -> F: 0.3814505493127383
Punto[1.         0.59883761 0.48785877] -> F: 0.3852672090992997
Punto[1.         0.5962356  0.48868327] -> F: 0.38878148899849857
Punto[1.         0.59363359 0.48950777] -> F: 0.3924658486369505
Punto[1.         0.59103158 0.49033227] -> F: 0.3962035514386638
Punto[1.         0.58842957 0.49115677] -> F: 0.3986995920832399
Punto[1.         0.58582756 0.49198127] -> F: 0.4012230631004608
Punto[1.         0.58322554 0.49280577] -> F: 0.4039262818473099
Punto[1.         0.58062353 0.49363028] -> F: 0.4068347646371199
Punto[1.         0.57802152 0.49445478] -> F: 0.4095451010376903
Punto[1.         0.57541951 0.49527928] -> F: 0.412102113467479
Punto[1.         0.5728175  0.49610378] -> F: 0.4133862980593385
Punto[1.         0.57021549 0.49692828] -> F: 0.4109035488189271
Punto[1.         0.56761348 0.49775278] -> F: 0.40843020737396096
Punto[1.         0.56501147 0.49857728] -> F: 0.4059662737244397
Punto[1.         0.56240945 0.49940178] -> F: 0.4034601325019521
Punto[1.         0.55980744 0.50022628] -> F: 0.40095061131438114
Punto[1.         0.55720543 0.50105079] -> F: 0.39845100265863626
Punto[1.         0.55460342 0.50187529] -> F: 0.3959613065347171
Punto[1.         0.55200141 0.50269979] -> F: 0.39347034257293323
Punto[1.         0.5493994  0.50352429] -> F: 0.3909355004319522
Punto[1.         0.54679739 0.50434879] -> F: 0.3884111006734604
Punto[1.         0.54419537 0.50517329] -> F: 0.3858971432974582
Punto[1.         0.54159336 0.50599779] -> F: 0.38339362830394547
Punto[1.         0.53899135 0.50682229] -> F: 0.38085534178132224
Punto[1.         0.53638934 0.50764679] -> F: 0.37830758367434364
Punto[1.         0.53378733 0.5084713 ] -> F: 0.3757708259167385
Punto[1.         0.53118532 0.5092958 ] -> F: 0.37324506850850664
Punto[1.         0.52858331 0.5101203 ] -> F: 0.3707080933444445
Punto[1.        0.5259813 0.5109448] -> F: 0.368138371069314
Punto[1.         0.52337928 0.5117693 ] -> F: 0.3655802386721013
Punto[1.         0.52077727 0.5125938 ] -> F: 0.3630336961528062
Punto[1.         0.51817526 0.5134183 ] -> F: 0.3604923937966602
Punto[1.         0.51557325 0.5142428 ] -> F: 0.35790206751867726
Punto[1.         0.51297124 0.5150673 ] -> F: 0.35532395618597884
Punto[1.         0.51036923 0.51589181] -> F: 0.35275805979856506
Punto[1.         0.50776722 0.51671631] -> F: 0.3502043783564358
Punto[1.         0.50516521 0.51754081] -> F: 0.34759783649858533
Punto[1.         0.50256319 0.51836531] -> F: 0.34500111697719926
Punto[1.         0.49996118 0.51918981] -> F: 0.3424172776261964
Punto[1.         0.49735917 0.52001431] -> F: 0.33984631844557656
Punto[1.         0.49475716 0.52083881] -> F: 0.3372252943834332
Punto[1.         0.49215515 0.52166331] -> F: 0.33461131766679214
Punto[1.         0.48955314 0.52248781] -> F: 0.3320109319023975
Punto[1.         0.48695113 0.52331232] -> F: 0.32942413709024904
Punto[1.         0.48434912 0.52413682] -> F: 0.326784421125091
