Punto[0.         0.6864834  0.47638289] -> F: 0.07779233999026808
Punto[1.         0.4602916  0.50407901] -> F: 0.3566084300108114
Punto[2.         0.44965136 0.4592728 ] -> F: 0.13687830869517723
Punto[1.         0.56806738 0.46782784] -> F: 0.32837075646952313
Punto[1.         0.46244711 0.50335398] -> F: 0.36009034751816255
Punto[1.         0.46455952 0.50264346] -> F: 0.36342569015966375
Punto[1.         0.46667192 0.50193294] -> F: 0.367168474284017
Punto[1.         0.46878433 0.50122242] -> F: 0.37208484475773823
Punto[1.         0.47089673 0.50051189] -> F: 0.37702325714318347
Punto[1.         0.47300914 0.49980137] -> F: 0.38189380304053744
Punto[1.         0.47512154 0.49909085] -> F: 0.38674974128030837
Punto[1.         0.47723395 0.49838032] -> F: 0.3915362573708258
Punto[1.         0.47934635 0.4976698 ] -> F: 0.3950506466398016
Punto[1.         0.48145876 0.49695928] -> F: 0.3985779820251367
Punto[1.         0.48357117 0.49624876] -> F: 0.4017402562859686
Punto[1.         0.48568357 0.49553823] -> F: 0.4007918651352065
Punto[1.         0.48779598 0.49482771] -> F: 0.3988656355281814
Punto[1.         0.48990838 0.49411719] -> F: 0.39694272233433947
Punto[1.         0.49202079 0.49340666] -> F: 0.3950234163116593
Punto[1.         0.49413319 0.49269614] -> F: 0.3931077174601411
Punto[1.         0.4962456  0.49198562] -> F: 0.39119562577978495
Punto[1.        0.498358  0.4912751] -> F: 0.3892871412705905
Punto[1.         0.50047041 0.49056457] -> F: 0.3873822639325581
Punto[1.         0.50258281 0.48985405] -> F: 0.3854809937656876
Punto[1.         0.50469522 0.48914353] -> F: 0.3835833307699789
Punto[1.         0.50680762 0.48843301] -> F: 0.38168927494543214
Punto[1.         0.50892003 0.48772248] -> F: 0.37979882629204753
Punto[1.         0.51103244 0.48701196] -> F: 0.3779119848098247
Punto[1.         0.51314484 0.48630144] -> F: 0.3760287504987637
Punto[1.         0.51525725 0.48559091] -> F: 0.3741491233588647
Punto[1.         0.51736965 0.48488039] -> F: 0.3722731033901275
Punto[1.         0.51948206 0.48416987] -> F: 0.37040069059255243
Punto[1.         0.52159446 0.48345935] -> F: 0.3685318849661391
Punto[1.         0.52370687 0.48274882] -> F: 0.3666666865108876
Punto[1.         0.52581927 0.4820383 ] -> F: 0.3648050952267983
Punto[1.         0.52793168 0.48132778] -> F: 0.3629471111138707
Punto[1.         0.53004408 0.48061725] -> F: 0.36109273417210513
Punto[1.         0.53215649 0.47990673] -> F: 0.3592419730423146
Punto[1.         0.5342689  0.47919621] -> F: 0.35739501287998976
Punto[1.         0.5363813  0.47848569] -> F: 0.35555192849844985
Punto[1.         0.53849371 0.47777516] -> F: 0.3537127198976946
Punto[1.         0.54060611 0.47706464] -> F: 0.35187738707772415
Punto[1.         0.54271852 0.47635412] -> F: 0.35004593003853846
Punto[1.         0.54483092 0.47564359] -> F: 0.3482183487801377
Punto[1.         0.54694333 0.47493307] -> F: 0.34639464330252157
Punto[1.         0.54905573 0.47422255] -> F: 0.3445748136056902
Punto[1.         0.55116814 0.47351203] -> F: 0.3427588596896436
Punto[1.         0.55328054 0.4728015 ] -> F: 0.3409467815543818
Punto[1.         0.55539295 0.47209098] -> F: 0.33913857919990487
Punto[1.         0.55750535 0.47138046] -> F: 0.33733425262621264
Punto[1.         0.55961776 0.47066994] -> F: 0.3355338018333052
Punto[1.         0.56173017 0.46995941] -> F: 0.33373722682118256
Punto[1.         0.56384257 0.46924889] -> F: 0.33194452758984466
Punto[1.         0.56595498 0.46853837] -> F: 0.3301557041392916
