Punto[0.         0.57613324 0.34663861] -> F: 0.12076548442749256
Punto[1.         0.46426413 0.45782261] -> F: 0.3911308916596407
Punto[2.         0.29472787 0.42312313] -> F: 0.1078692308143046
Punto[1.         0.43543055 0.38488087] -> F: 0.39080549430355727
Punto[1.         0.46368746 0.45636378] -> F: 0.3924888715045251
Punto[1.         0.46312232 0.45493412] -> F: 0.39383380546842256
Punto[1.         0.46255718 0.45350446] -> F: 0.39526476561857077
Punto[1.         0.46199205 0.4520748 ] -> F: 0.39679180468642966
Punto[1.         0.46142691 0.45064515] -> F: 0.39841492267199946
Punto[1.         0.46086177 0.44921549] -> F: 0.4001341195752799
Punto[1.         0.46029663 0.44778583] -> F: 0.4019493953962712
Punto[1.         0.45973149 0.44635617] -> F: 0.4032949826086258
Punto[1.         0.45916635 0.44492651] -> F: 0.4047185756402977
Punto[1.         0.45860122 0.44349686] -> F: 0.406258166680862
Punto[1.         0.45803608 0.4420672 ] -> F: 0.4079137557303188
Punto[1.         0.45747094 0.44063754] -> F: 0.40968534278866814
Punto[1.         0.4569058  0.43920788] -> F: 0.41157292785590993
Punto[1.         0.45634066 0.43777822] -> F: 0.4135765109320441
Punto[1.         0.45577553 0.43634856] -> F: 0.415696092017071
Punto[1.         0.45521039 0.43491891] -> F: 0.4177494517304182
Punto[1.         0.45464525 0.43348925] -> F: 0.4188745252896604
Punto[1.         0.45408011 0.43205959] -> F: 0.42000230261982946
Punto[1.         0.45351497 0.43062993] -> F: 0.42113431029314224
Punto[1.         0.45294984 0.42920027] -> F: 0.4222705483095991
Punto[1.         0.4523847  0.42777062] -> F: 0.4234110166691995
Punto[1.         0.45181956 0.42634096] -> F: 0.42455571537194364
Punto[1.         0.45125442 0.4249113 ] -> F: 0.4257020688618161
Punto[1.         0.45068928 0.42348164] -> F: 0.4268029408885881
Punto[1.         0.45012414 0.42205198] -> F: 0.4279083914302769
Punto[1.         0.44955901 0.42062232] -> F: 0.42901842048688255
Punto[1.         0.44899387 0.41919267] -> F: 0.4301330280584048
Punto[1.         0.44842873 0.41776301] -> F: 0.4305677194220807
Punto[1.         0.44786359 0.41633335] -> F: 0.4289087587430346
Punto[1.         0.44729845 0.41490369] -> F: 0.4272584937558183
Punto[1.         0.44673332 0.41347403] -> F: 0.4256169244604319
Punto[1.         0.44616818 0.41204438] -> F: 0.42398405085687546
Punto[1.         0.44560304 0.41061472] -> F: 0.42235987294514876
Punto[1.         0.4450379  0.40918506] -> F: 0.42074439072525227
Punto[1.         0.44447276 0.4077554 ] -> F: 0.4190601228495127
Punto[1.         0.44390763 0.40632574] -> F: 0.41724798198939606
Punto[1.         0.44334249 0.40489608] -> F: 0.41544431193123205
Punto[1.         0.44277735 0.40346643] -> F: 0.41364911267502064
Punto[1.         0.44221221 0.40203677] -> F: 0.4118623842207621
Punto[1.         0.44164707 0.40060711] -> F: 0.41007654746304106
Punto[1.         0.44108193 0.39917745] -> F: 0.4082819544183765
Punto[1.         0.4405168  0.39774779] -> F: 0.4064958971979268
Punto[1.         0.43995166 0.39631813] -> F: 0.4047183758016923
Punto[1.         0.43938652 0.39488848] -> F: 0.40294939022967285
Punto[1.         0.43882138 0.39345882] -> F: 0.4011889404818682
Punto[1.         0.43825624 0.39202916] -> F: 0.39943702655827873
Punto[1.         0.43769111 0.3905995 ] -> F: 0.3976936484589043
Punto[1.         0.43712597 0.38916984] -> F: 0.395958806183745
Punto[1.         0.43656083 0.38774019] -> F: 0.3942324997328008
Punto[1.         0.43599569 0.38631053] -> F: 0.3925147291060714
