Punto[0.         0.36274783 0.4039762 ] -> F: 0.0901631994141733
Punto[1.         0.42019134 0.56412621] -> F: 0.3964393157910717
Punto[2.         0.53075936 0.66738508] -> F: 0.14311390821627698
Punto[1.         0.44675359 0.53568064] -> F: 0.3917802423382413
Punto[1.         0.42072258 0.5635573 ] -> F: 0.39897199591796306
Punto[1.         0.4212432  0.56299976] -> F: 0.40146220011352685
Punto[1.         0.42176382 0.56244223] -> F: 0.40396049937756195
Punto[1.         0.42228444 0.5618847 ] -> F: 0.40637778852728434
Punto[1.         0.42280507 0.56132716] -> F: 0.40871513801537873
Punto[1.         0.42332569 0.56076963] -> F: 0.41109317068165463
Punto[1.         0.42384631 0.5602121 ] -> F: 0.4135101892549407
Punto[1.         0.42436693 0.55965456] -> F: 0.41596482739026636
Punto[1.         0.42488755 0.55909703] -> F: 0.4184570850876311
Punto[1.         0.42540817 0.5585395 ] -> F: 0.4191638183862998
Punto[1.         0.42592879 0.55798196] -> F: 0.41965578730351805
Punto[1.         0.42644941 0.55742443] -> F: 0.4201633822297326
Punto[1.         0.42697003 0.5568669 ] -> F: 0.4207128641216962
Punto[1.         0.42749065 0.55630936] -> F: 0.4213046689334549
Punto[1.         0.42801127 0.55575183] -> F: 0.42193879666500983
Punto[1.         0.42853189 0.5551943 ] -> F: 0.42162714956452474
Punto[1.         0.42905251 0.55463677] -> F: 0.42081373959266205
Punto[1.         0.42957313 0.55407923] -> F: 0.4199884646995519
Punto[1.         0.43009375 0.5535217 ] -> F: 0.41915557778318757
Punto[1.         0.43061437 0.55296417] -> F: 0.41832353547276035
Punto[1.         0.43113499 0.55240663] -> F: 0.41749233776827066
Punto[1.         0.43165561 0.5518491 ] -> F: 0.41666198466971816
Punto[1.         0.43217623 0.55129157] -> F: 0.4158324761771028
Punto[1.         0.43269685 0.55073403] -> F: 0.41500381229042516
Punto[1.         0.43321747 0.5501765 ] -> F: 0.4141759930096846
Punto[1.         0.43373809 0.54961897] -> F: 0.41333531875378926
Punto[1.         0.43425871 0.54906143] -> F: 0.41248702027625656
Punto[1.         0.43477933 0.5485039 ] -> F: 0.41163961239585783
Punto[1.         0.43529995 0.54794637] -> F: 0.4107930951125934
Punto[1.         0.43582057 0.54738883] -> F: 0.4099474684264633
Punto[1.         0.43634119 0.5468313 ] -> F: 0.4091027323374674
Punto[1.         0.43686181 0.54627377] -> F: 0.4082588868456058
Punto[1.         0.43738243 0.54571623] -> F: 0.40741593195087844
Punto[1.         0.43790305 0.5451587 ] -> F: 0.40656576374590225
Punto[1.         0.43842367 0.54460117] -> F: 0.405701176042913
Punto[1.         0.43894429 0.54404363] -> F: 0.4048375292534156
Punto[1.         0.43946491 0.5434861 ] -> F: 0.4039748233774103
Punto[1.         0.43998553 0.54292857] -> F: 0.40311305841489714
Punto[1.         0.44050615 0.54237103] -> F: 0.4022522343658761
Punto[1.         0.44102677 0.5418135 ] -> F: 0.401392351230347
Punto[1.         0.44154739 0.54125597] -> F: 0.40053340900830986
Punto[1.         0.44206801 0.54069844] -> F: 0.39967540769976473
Punto[1.         0.44258863 0.5401409 ] -> F: 0.3987996493319684
Punto[1.         0.44310925 0.53958337] -> F: 0.39791873647694276
Punto[1.         0.44362987 0.53902584] -> F: 0.39703881990214834
Punto[1.         0.44415049 0.5384683 ] -> F: 0.3961598996075854
Punto[1.         0.44467111 0.53791077] -> F: 0.3952819755932539
Punto[1.         0.44519173 0.53735324] -> F: 0.39440504785915376
Punto[1.         0.44571235 0.5367957 ] -> F: 0.3935291164052848
Punto[1.         0.44623297 0.53623817] -> F: 0.3926541812316474
